Country Name,Continent,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Dominican Republic,North America,72.496,72.817,73.038,73.145,72.982,72.889,73.37,73.555,73.112,72.636
Algeria,Africa,74.383,74.609,74.809,74.992,75.159,75.31,75.431,75.555,75.682,73.257
East Asia & Pacific,Oceania,74.82528306,75.10597269,75.33477299,75.56442704,75.79260102,75.98701667,76.07899236,76.39142294,76.58626193,76.54343761
Europe & Central Asia,Europe,76.47941212,76.68059514,77.0325566,77.35369956,77.3311423,77.68151958,77.89930497,78.0322195,78.3042684,77.17574845
Ecuador,South America,75.179,75.486,75.832,76.141,76.222,76.094,76.22,77.248,77.286,72.004
"Egypt, Arab Rep.",Africa,69.232,69.464,69.632,69.911,70.135,70.437,70.709,70.974,71.213,69.79
Spain,Europe,82.47560976,82.42682927,83.07804878,83.22926829,82.83170732,83.32926829,83.28292683,83.43170732,83.83170732,82.23170732
Estonia,Europe,76.22926829,76.32682927,77.14146341,77.03414634,77.5902439,77.64146341,78.09268293,78.24390244,78.64634146,78.59512195
Ethiopia,Africa,60.595,61.443,62.161,62.927,63.592,64.162,64.766,65.257,65.741,65.969
Finland,Europe,80.47073171,80.62682927,80.97560976,81.1804878,81.4804878,81.42926829,81.63170732,81.73414634,81.98292683,81.93170732
Fiji,Oceania,66.88,65.812,66.545,66.581,66.48,66.657,67.06,66.965,67.009,66.924
France,Europe,82.11463415,81.96829268,82.2195122,82.7195122,82.32195122,82.57317073,82.57560976,82.67560976,82.82682927,82.17560976
Faroe Islands,Europe,80.8902439,81.0902439,81.34146341,81.59268293,81.79268293,81.99268293,82.14390244,82.29268293,82.44390244,82.64390244
"Micronesia, Fed. Sts.",Oceania,64.969,65.08,65.179,65.294,65.306,65.576,65.761,65.943,66.196,65.878
Gabon,Africa,65.102,65.438,65.751,66.07,66.336,66.583,66.816,67.043,67.337,67.073
United Kingdom,Europe,80.95121951,80.90487805,81.00487805,81.30487805,80.95609756,81.15609756,81.25609756,81.25609756,81.36912195,80.3317561
Georgia,Asia,72.485,72.672,73.025,73.105,73.241,73.136,73.435,73.985,74.165,73.509
Ghana,Africa,61.617,61.995,62.397,62.832,63.175,63.522,63.829,64.138,64.455,64.309
Guinea,Africa,56.778,57.117,57.459,57.581,57.899,58.49,58.715,59.043,59.379,59.35
"Gambia, The",Africa,61.561,61.9,62.252,62.576,62.971,63.386,63.708,64.034,64.427,64.418
Guinea-Bissau,Africa,57.663,58.27,58.879,59.476,60.071,60.619,61.148,61.652,62.161,61.343
Equatorial Guinea,Africa,58.827,59.301,59.784,60.228,60.635,61.081,61.481,61.915,62.297,62.141
Greece,Europe,80.73170732,80.63414634,81.28536585,81.38536585,81.03658537,81.38780488,81.28780488,81.78780488,81.63902439,81.28780488
Grenada,North America,74.861,74.961,75.022,75.045,75.037,75.01,74.977,74.957,74.971,75.019
Greenland,North America,70.26487805,70.54634146,70.83853659,71.06097561,71.47902439,71.83853659,71.93219512,71.96756098,71.94439024,71.85073171
Guatemala,North America,70.321,70.722,70.878,70.942,70.915,71.215,71.583,71.496,71.639,69.971
Guam,Oceania,76.153,76.237,76.361,76.423,76.444,76.449,76.463,76.561,76.645,75.529
Guyana,South America,66.469,66.443,66.71,67.334,67.719,68.069,68.543,68.829,69.067,67.751
"Hong Kong SAR, China",Asia,83.41195122,83.4502439,83.83121951,83.93560976,84.25268293,84.21146341,84.69560976,84.8697561,85.15585366,85.49634146
Honduras,North America,70.116,70.46,70.765,71.032,71.323,71.615,71.805,72.001,72.124,70.864
Croatia,Europe,76.77560976,77.16829268,77.57073171,77.72439024,77.27560976,77.92195122,77.72682927,77.9195122,78.22439024,77.52439024
Haiti,North America,61.581,62.273,62.624,62.969,63.224,63.325,63.832,64.077,64.328,63.773
Hungary,Europe,74.85853659,75.06341463,75.56585366,75.76341463,75.56829268,76.06341463,75.81707317,76.06585366,76.3195122,75.4195122
Indonesia,Asia,68.629,68.862,69.064,69.292,69.52,69.733,69.953,70.08,70.349,68.817
Isle of Man,Europe,79.836,80.007,80.12,80.199,80.267,80.391,80.506,80.614,80.74,80.591
India,Asia,67.623,68.076,68.499,68.932,69.326,69.709,70.068,70.415,70.746,70.156
Ireland,Europe,80.74634146,80.84634146,80.94878049,81.34878049,81.45365854,81.65365854,82.15609756,82.20487805,82.70243902,82.45609756
"Iran, Islamic Rep.",Asia,74.721,75.039,75.349,75.635,75.907,76.155,76.396,76.621,76.855,74.141
Iraq,Asia,68.435,68.827,69.047,69.679,69.977,68.683,69.788,71.116,71.245,69.651
Iceland,Europe,82.35853659,82.91707317,82.06097561,82.86097561,82.46829268,82.20487805,82.66097561,82.86097561,83.16341463,83.06341463
Israel,Asia,81.65609756,81.70487805,82.05609756,82.15365854,82.05121951,82.40731707,82.55121951,82.80243902,82.80487805,82.64878049
Italy,Europe,82.18780488,82.23902439,82.6902439,83.0902439,82.54390244,83.24390244,82.94634146,83.34634146,83.49756098,82.19512195
Jamaica,North America,72.245,72.405,72.435,72.357,72.214,72.052,71.879,71.606,71.532,71.452
Jordan,Asia,73.929,74.087,74.282,74.606,75.06,75.55,76.071,76.491,76.865,75.583
Japan,Asia,82.59121951,83.09609756,83.33195122,83.58780488,83.79390244,83.98487805,84.0997561,84.21097561,84.35634146,84.56
Kazakhstan,Asia,69.108,69.939,70.719,71.415,72.024,72.549,72.996,73.369,73.658,71.195
Kenya,Africa,61.283,61.537,61.729,61.99,62.279,62.526,62.725,62.825,62.939,61.596
Kyrgyz Republic,Asia,69.60243902,70.00243902,70.20243902,70.40243902,70.65121951,70.95121951,71.2,71.4,71.6,71.8
Cambodia,Asia,67.869,68.371,68.755,69.117,69.398,69.635,69.842,69.993,70.127,70.059
Kiribati,Oceania,65.896,65.908,65.898,65.869,65.831,65.799,65.787,65.807,65.866,65.205
St. Kitts and Nevis,North America,71.4,71.362,71.29,71.228,71.211,71.227,71.284,71.336,71.54,71.181
"Korea, Rep.",Asia,80.56829268,80.8195122,81.27073171,81.72195122,82.02439024,82.27560976,82.62682927,82.62682927,83.22682927,83.42682927
Kuwait,Asia,78.0522439,78.39502439,78.74180488,79.08034146,79.37656098,79.67758537,79.91607317,80.10636585,81.9697561,78.76097561
Lao PDR,Asia,64.505,65.126,65.723,66.35,66.688,67.014,67.345,67.594,67.911,68.339
Lebanon,Asia,77.768,77.941,78.037,78.148,78.275,78.306,78.192,78.263,78.208,76.299
Liberia,Africa,59.486,59.785,59.992,59.21,59.248,60.483,60.777,60.999,61.232,61.267
Libya,Africa,69.95,72.188,72.339,71.3,71.644,71.799,72.721,73.151,72.941,72.388
St. Lucia,North America,72.962,72.86,72.687,72.676,72.932,72.552,72.522,72.655,72.249,72.308
Liechtenstein,Europe,81.79268293,82.38292683,82.26097561,82.07317073,82.65609756,82.25853659,83.74634146,83.04146341,84.16097561,81.65853659
Sri Lanka,Asia,74.74,75.187,75.546,75.757,75.99,76.136,76.239,76.485,76.698,76.928
Lesotho,Africa,46.93,48.235,49.547,50.786,51.83,52.908,53.874,54.638,55.249,55.133
Lithuania,Europe,73.56341463,73.86341463,73.91463415,74.51707317,74.32195122,74.67073171,75.4804878,75.6804878,76.28292683,75.02926829
Luxembourg,Europe,80.98780488,81.39268293,81.8,82.22926829,82.29268293,82.68536585,82.09512195,82.29512195,82.63902439,82.14390244
